"well","treatment","divDIV29"
"A5","NoTreatment","5.71015931468192"
"A6","NoTreatment","5.08698911455649"
"A7","NoTreatment","5.3565916716938"
"A8","NoTreatment","3.42688170145755"
"B5","NoTreatment","5.39208461859511"
"B6","NoTreatment","5.11296138756894"
"B7","NoTreatment","8.23604174706283"
"B8","NoTreatment","9.088304809722"
"C5","NoTreatment","7.36294032456478"
"C6","NoTreatment","4.62032153529545"
"C7","NoTreatment","5.8319558491581"
"C8","NoTreatment","5.41719008079565"
"D5","NoTreatment","4.52094634096173"
"D6","NoTreatment","3.90241503879682"
"D7","NoTreatment","3.46990261892068"
"D8","NoTreatment","5.42664255654544"
"E5","NoTreatment","3.92763731034259"
"E6","NoTreatment","3.93922992560519"
"E7","NoTreatment","5.56770930066327"
"E8","NoTreatment","6.05453564950464"
"F5","NoTreatment","3.76378513806871"
"F6","NoTreatment","6.19655057923737"
"F7","NoTreatment","2.78607687689954"
"F8","NoTreatment","4.12018166835526"
