"well","treatment","divDIV29"
"A5","Gabazine","7.11228739669433"
"A6","Gabazine","6.96289133516956"
"A7","Gabazine","6.50802066089368"
"A8","Gabazine","5.20177500134686"
"B5","KainicAcid","3.53934817578981"
"B6","KainicAcid","3.53748283345291"
"B7","KainicAcid","4.93407522459018"
"B8","KainicAcid","7.91333782700388"
"C5","Control","7.62985341755736"
"C6","Control","4.90596941044311"
"C7","Control","5.49410788045319"
"C8","Control","6.28199673305054"
"D5","GABA","2.00701905619761"
"D6","GABA","1.93805099990096"
"D7","GABA","1.56172810546574"
"D8","GABA","2.81699435582652"
"E5","CNQX","1.11594436039309"
"E6","CNQX","1.23632814094776"
"E7","CNQX","2.20577392806962"
"E8","CNQX","2.76069222655826"
"F5","D-AP5","0.941927662663582"
"F6","D-AP5","1.88633430728716"
"F7","D-AP5","1.35767003378295"
"F8","D-AP5","1.35506282861812"
