"well","treatment","divDIV29"
"A5","NoTreatment","0.468185642163822"
"A6","NoTreatment","0.518162449384595"
"A7","NoTreatment","0.196659905175735"
"A8","NoTreatment","0.356629440669839"
"B5","NoTreatment","0.43297269049116"
"B6","NoTreatment","0.51121548730879"
"B7","NoTreatment","0.478395960579866"
"B8","NoTreatment","0.469129585020168"
"C5","NoTreatment","0.427151855460008"
"C6","NoTreatment","0.586543503725405"
"C7","NoTreatment","0.470231026755006"
"C8","NoTreatment","0.587310882364285"
"D5","NoTreatment","0.533750059807726"
"D6","NoTreatment","0.472324487847263"
"D7","NoTreatment","0.448912525450412"
"D8","NoTreatment","0.56461236310439"
"E5","NoTreatment","0.516429912607525"
"E6","NoTreatment","0.402370809839679"
"E7","NoTreatment","0.515137527054477"
"E8","NoTreatment","0.461954760038822"
"F5","NoTreatment","0.454378133729082"
"F6","NoTreatment","0.196228665515431"
"F7","NoTreatment","0.156419008807277"
"F8","NoTreatment","0.370691607500571"
