"well","treatment","divDIV29"
"A5","Gabazine","0.702362369428003"
"A6","Gabazine","0.808136940541438"
"A7","Gabazine","0.448664362153704"
"A8","Gabazine","0.68618243528744"
"B5","KainicAcid","0.00163329707558691"
"B6","KainicAcid","0.0183904195900697"
"B7","KainicAcid","0.0234588685667542"
"B8","KainicAcid","0.0116633915765164"
"C5","Control","0.439265082004418"
"C6","Control","0.668896716112411"
"C7","Control","0.528646477257783"
"C8","Control","0.658493839654129"
"D5","GABA","0.0723090622914511"
"D6","GABA","0.00783772883711664"
"D7","GABA","0.0764349190796598"
"D8","GABA","0.00968929910749412"
"E5","CNQX","0.00451040704910188"
"E6","CNQX","0.00494952578061946"
"E7","CNQX","0.0048875543851137"
"E8","CNQX","0.0156739322140347"
"F5","D-AP5","0.00348061967832723"
"F6","D-AP5","0.00261899250957058"
"F7","D-AP5","0.001737034905726"
"F8","D-AP5","0.00581957755753919"
