"well","treatment","divDIV29"
"A5","NoTreatment","0.557433931178311"
"A6","NoTreatment","0.717445192649675"
"A7","NoTreatment","0.578592758148452"
"A8","NoTreatment","0.486556378009342"
"B5","NoTreatment","1.11245211524947"
"B6","NoTreatment","0.950355912310285"
"B7","NoTreatment","0.984568623853212"
"B8","NoTreatment","1.14322530909091"
"C5","NoTreatment","0.72283524416136"
"C6","NoTreatment","0.580671594703512"
"C7","NoTreatment","0.626944596273291"
"C8","NoTreatment","0.906070593019315"
"D5","NoTreatment","0.832135792426367"
"D6","NoTreatment","0.542761953352769"
"D7","NoTreatment","0.459188896280615"
"D8","NoTreatment","0.52957843995749"
"E5","NoTreatment","0.919359415855354"
"E6","NoTreatment","0.428992136563879"
"E7","NoTreatment","0.712263110114878"
"E8","NoTreatment","0.835146406601652"
"F5","NoTreatment","0.488002798913044"
"F6","NoTreatment","0.378800037688441"
"F7","NoTreatment","0.384872776934749"
"F8","NoTreatment","0.623337265550995"
