"well","treatment","divDIV29"
"A5","Gabazine","1.07739533891851"
"A6","Gabazine","2.14879536152797"
"A7","Gabazine","0.768554325894222"
"A8","Gabazine","1.38582222222222"
"B5","KainicAcid","0.259723401360546"
"B6","KainicAcid","0.242016833758142"
"B7","KainicAcid","0.848408845947397"
"B8","KainicAcid","0.369927047652541"
"C5","Control","0.916327022805372"
"C6","Control","1.83365937230769"
"C7","Control","0.999850094732852"
"C8","Control","1.93662174957118"
"D5","GABA","0.236375555555557"
"D6","GABA","0.226512478031632"
"D7","GABA","0.385032225063936"
"D8","GABA","0.297155509309967"
"E5","CNQX","0.153153333333333"
"E6","CNQX","0.204434156028371"
"E7","CNQX","0.266222651593014"
"E8","CNQX","0.264808884442222"
"F5","D-AP5","0.204523636363632"
"F6","D-AP5","0.195509902912615"
"F7","D-AP5","0.177363888888883"
"F8","D-AP5","NaN"
