"well","treatment","divDIV29"
"A5","NoTreatment","9.83076923076923"
"A6","NoTreatment","7.504"
"A7","NoTreatment","15.21"
"A8","NoTreatment","6.62142857142857"
"B5","NoTreatment","7.915"
"B6","NoTreatment","7.05857142857143"
"B7","NoTreatment","9.69"
"B8","NoTreatment","8.32909090909091"
"C5","NoTreatment","10.47"
"C6","NoTreatment","7.72"
"C7","NoTreatment","9.308"
"C8","NoTreatment","7.57384615384615"
"D5","NoTreatment","6.344"
"D6","NoTreatment","6.092"
"D7","NoTreatment","8.47846153846154"
"D8","NoTreatment","9.8025"
"E5","NoTreatment","6.85285714285714"
"E6","NoTreatment","9.30923076923077"
"E7","NoTreatment","9.15692307692308"
"E8","NoTreatment","8.07272727272727"
"F5","NoTreatment","8.175"
"F6","NoTreatment","23.5933333333333"
"F7","NoTreatment","6.27428571428571"
"F8","NoTreatment","8.12307692307692"
