"well","treatment","divDIV29"
"A5","Gabazine","5.844"
"A6","Gabazine","3.05625"
"A7","Gabazine","9.08"
"A8","Gabazine","3.67125"
"B5","KainicAcid","31.368"
"B6","KainicAcid","23.532"
"B7","KainicAcid","31.05"
"B8","KainicAcid","63.2"
"C5","Control","8.21076923076923"
"C6","Control","3.616"
"C7","Control","5.505"
"C8","Control","4.86"
"D5","GABA","3.69692307692308"
"D6","GABA","9.51"
"D7","GABA","1.18363636363636"
"D8","GABA","13.5466666666667"
"E5","CNQX","0.6"
"E6","CNQX","23.52"
"E7","CNQX","9.27428571428571"
"E8","CNQX","22.22"
"F5","D-AP5","0.12"
"F6","D-AP5","1.74"
"F7","D-AP5","2.4"
"F8","D-AP5","NaN"
