"well","treatment","divDIV29"
"A5","NoTreatment","24.255"
"A6","NoTreatment","28.857"
"A7","NoTreatment","21.357"
"A8","NoTreatment","19.217"
"B5","NoTreatment","39.603"
"B6","NoTreatment","37.438"
"B7","NoTreatment","45.495"
"B8","NoTreatment","63.125"
"C5","NoTreatment","41.296"
"C6","NoTreatment","27.107"
"C7","NoTreatment","28.673"
"C8","NoTreatment","32.961"
"D5","NoTreatment","32.85"
"D6","NoTreatment","24.779"
"D7","NoTreatment","18.274"
"D8","NoTreatment","23.782"
"E5","NoTreatment","26.581"
"E6","NoTreatment","16.376"
"E7","NoTreatment","28.372"
"E8","NoTreatment","44.179"
"F5","NoTreatment","19.191"
"F6","NoTreatment","13.004"
"F7","NoTreatment","13.731"
"F8","NoTreatment","23.207"
