"well","treatment","divDIV29"
"A5","Gabazine","66.231"
"A6","Gabazine","123.709"
"A7","Gabazine","39.127"
"A8","Gabazine","70.749"
"B5","KainicAcid","7.848"
"B6","KainicAcid","6.966"
"B7","KainicAcid","33.571"
"B8","KainicAcid","12.127"
"C5","Control","51.715"
"C6","Control","71.29"
"C7","Control","45.025"
"C8","Control","71.646"
"D5","GABA","8.951"
"D6","GABA","7.042"
"D7","GABA","11.742"
"D8","GABA","9.428"
"E5","CNQX","5.222"
"E6","CNQX","6.843"
"E7","CNQX","9.03"
"E8","CNQX","8.41"
"F5","D-AP5","5.091"
"F6","D-AP5","6.155"
"F7","D-AP5","5.722"
"F8","D-AP5","NaN"
