"well","treatment","divDIV29"
"A5","NoTreatment","60.348"
"A6","NoTreatment","66.457"
"A7","NoTreatment","62.207"
"A8","NoTreatment","54.188"
"B5","NoTreatment","77.417"
"B6","NoTreatment","75.383"
"B7","NoTreatment","82.338"
"B8","NoTreatment","88.43"
"C5","NoTreatment","78.271"
"C6","NoTreatment","70.77"
"C7","NoTreatment","71.46"
"C8","NoTreatment","76.733"
"D5","NoTreatment","71.955"
"D6","NoTreatment","64.532"
"D7","NoTreatment","60.473"
"D8","NoTreatment","71.596"
"E5","NoTreatment","72.089"
"E6","NoTreatment","55.92"
"E7","NoTreatment","72.17"
"E8","NoTreatment","77.197"
"F5","NoTreatment","55.597"
"F6","NoTreatment","57.109"
"F7","NoTreatment","25.776"
"F8","NoTreatment","61.938"
