"well","treatment","divDIV29"
"A5","Gabazine","84.921"
"A6","Gabazine","90.451"
"A7","Gabazine","78.05"
"A8","Gabazine","83.317"
"B5","KainicAcid","41.397"
"B6","KainicAcid","27.596"
"B7","KainicAcid","58.691"
"B8","KainicAcid","60.529"
"C5","Control","80.368"
"C6","Control","82.002"
"C7","Control","75.104"
"C8","Control","85.256"
"D5","GABA","22.302"
"D6","GABA","8.837"
"D7","GABA","11.667"
"D8","GABA","42.444"
"E5","CNQX","0.78"
"E6","CNQX","16.677"
"E7","CNQX","36.887"
"E8","CNQX","30.761"
"F5","D-AP5","0.254"
"F6","D-AP5","1.437"
"F7","D-AP5","2.594"
"F8","D-AP5","0"
