"well","treatment","divDIV29"
"A5","NoTreatment","36.7163931814547"
"A6","NoTreatment","37.7016210618086"
"A7","NoTreatment","35.42554904015"
"A8","NoTreatment","35.9933117211164"
"B5","NoTreatment","38.651002740368"
"B6","NoTreatment","38.9620573394017"
"B7","NoTreatment","38.5339031587492"
"B8","NoTreatment","40.5297318684241"
"C5","NoTreatment","38.9992890304709"
"C6","NoTreatment","39.5041560837451"
"C7","NoTreatment","37.8446812296458"
"C8","NoTreatment","37.1609618846177"
"D5","NoTreatment","39.0775355701097"
"D6","NoTreatment","38.9468657571477"
"D7","NoTreatment","38.1081272855119"
"D8","NoTreatment","37.2894160032352"
"E5","NoTreatment","36.0921885183022"
"E6","NoTreatment","35.4808048748828"
"E7","NoTreatment","37.9660858024274"
"E8","NoTreatment","39.8282209033364"
"F5","NoTreatment","37.0866202447085"
"F6","NoTreatment","36.1062558507294"
"F7","NoTreatment","36.4325175552419"
"F8","NoTreatment","35.9731972057245"
