"well","treatment","divDIV29"
"A5","Gabazine","44.3638210156438"
"A6","Gabazine","48.8587205470956"
"A7","Gabazine","39.608283561577"
"A8","Gabazine","40.7933044658256"
"B5","KainicAcid","34.7752378243235"
"B6","KainicAcid","32.3178993261638"
"B7","KainicAcid","40.8727735463824"
"B8","KainicAcid","36.9820980067301"
"C5","Control","39.357947103032"
"C6","Control","38.03000534081"
"C7","Control","37.3445634048098"
"C8","Control","36.6827426042258"
"D5","GABA","40.0499297466227"
"D6","GABA","36.3278987999715"
"D7","GABA","30.538121984382"
"D8","GABA","35.6259204187253"
"E5","CNQX","41.6883882087975"
"E6","CNQX","39.4502103271331"
"E7","CNQX","38.6008654207128"
"E8","CNQX","36.2591138803556"
"F5","D-AP5","26.4706385677646"
"F6","D-AP5","34.9490439054311"
"F7","D-AP5","39.6134853061268"
"F8","D-AP5","NaN"
