well,treatment,MFR,STTC,burst_per_min,burst_duration,spike_freq_in_bursts,percent_of_spikes_in_bursts,number_of_spikes_in_bursts
A5,NoTreatment,5.71015931468192,0.468185642163822,9.83076923076923,0.557433931178311,36.7163931814547,60.348,24.255
A6,NoTreatment,5.08698911455649,0.518162449384595,7.504,0.717445192649675,37.7016210618086,66.457,28.857
A7,NoTreatment,5.3565916716938,0.196659905175735,15.21,0.578592758148452,35.42554904015,62.207,21.357
A8,NoTreatment,3.42688170145755,0.356629440669839,6.62142857142857,0.486556378009342,35.9933117211164,54.188,19.217
B5,NoTreatment,5.39208461859511,0.43297269049116,7.915,1.11245211524947,38.651002740368,77.417,39.603
B6,NoTreatment,5.11296138756894,0.51121548730879,7.05857142857143,0.950355912310285,38.9620573394017,75.383,37.438
B7,NoTreatment,8.23604174706283,0.478395960579866,9.69,0.984568623853212,38.5339031587492,82.338,45.495
B8,NoTreatment,9.088304809722,0.469129585020168,8.32909090909091,1.14322530909091,40.5297318684241,88.43,63.125
C5,NoTreatment,7.36294032456478,0.427151855460008,10.47,0.72283524416136,38.9992890304709,78.271,41.296
C6,NoTreatment,4.62032153529545,0.586543503725405,7.72,0.580671594703512,39.5041560837451,70.77,27.107
C7,NoTreatment,5.8319558491581,0.470231026755006,9.308,0.626944596273291,37.8446812296458,71.46,28.673
C8,NoTreatment,5.41719008079565,0.587310882364285,7.57384615384615,0.906070593019315,37.1609618846177,76.733,32.961
D5,NoTreatment,4.52094634096173,0.533750059807726,6.344,0.832135792426367,39.0775355701097,71.955,32.85
D6,NoTreatment,3.90241503879682,0.472324487847263,6.092,0.542761953352769,38.9468657571477,64.532,24.779
D7,NoTreatment,3.46990261892068,0.448912525450412,8.47846153846154,0.459188896280615,38.1081272855119,60.473,18.274
D8,NoTreatment,5.42664255654544,0.56461236310439,9.8025,0.52957843995749,37.2894160032352,71.596,23.782
E5,NoTreatment,3.92763731034259,0.516429912607525,6.85285714285714,0.919359415855354,36.0921885183022,72.089,26.581
E6,NoTreatment,3.93922992560519,0.402370809839679,9.30923076923077,0.428992136563879,35.4808048748828,55.92,16.376
E7,NoTreatment,5.56770930066327,0.515137527054477,9.15692307692308,0.712263110114878,37.9660858024274,72.17,28.372
E8,NoTreatment,6.05453564950464,0.461954760038822,8.07272727272727,0.835146406601652,39.8282209033364,77.197,44.179
F5,NoTreatment,3.76378513806871,0.454378133729082,8.175,0.488002798913044,37.0866202447085,55.597,19.191
F6,NoTreatment,6.19655057923737,0.196228665515431,23.5933333333333,0.378800037688441,36.1062558507294,57.109,13.004
F7,NoTreatment,2.78607687689954,0.156419008807277,6.27428571428571,0.384872776934749,36.4325175552419,25.776,13.731
F8,NoTreatment,4.12018166835526,0.370691607500571,8.12307692307692,0.623337265550995,35.9731972057245,61.938,23.207
